127.0.0.1, 2014-05-27 16:13:57, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001101
127.0.0.1, 2014-05-27 16:13:58, GET, /admin/default/site, HTTP/1.1, 200, 0.135451
127.0.0.1, 2014-05-27 16:13:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000641
127.0.0.1, 2014-05-27 16:13:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000596
127.0.0.1, 2014-05-27 16:13:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000990
127.0.0.1, 2014-05-27 16:13:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000957
127.0.0.1, 2014-05-27 16:13:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000883
127.0.0.1, 2014-05-27 16:13:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000661
127.0.0.1, 2014-05-27 16:13:59, GET, /kurssihallinta/default/index, HTTP/1.1, 500, 0.173195
127.0.0.1, 2014-05-27 16:13:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000723
127.0.0.1, 2014-05-27 16:14:01, GET, /admin/default/ticket/kurssihallinta/127.0.0.1.2014-05-27.16-13-59.632f7438-b9ec-4bb3-a923-2023b47c7b0d, HTTP/1.1, 200, 0.164990
127.0.0.1, 2014-05-27 16:14:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000638
127.0.0.1, 2014-05-27 16:14:16, GET, /admin/default/site, HTTP/1.1, 200, 0.064056
127.0.0.1, 2014-05-27 16:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2014-05-27 16:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2014-05-27 16:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000249
127.0.0.1, 2014-05-27 16:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000212
127.0.0.1, 2014-05-27 16:14:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2014-05-27 16:14:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2014-05-27 16:14:21, GET, /admin/default/design/kurssihallinta, HTTP/1.1, 200, 0.102810
127.0.0.1, 2014-05-27 16:14:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2014-05-27 16:14:23, GET, /admin/default/edit/kurssihallinta/models/db.py, HTTP/1.1, 200, 0.059122
127.0.0.1, 2014-05-27 16:14:23, GET, /admin/default/edit/kurssihallinta/models/db.py, HTTP/1.1, 200, 0.040353
127.0.0.1, 2014-05-27 16:14:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.043433
127.0.0.1, 2014-05-27 16:14:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.143344
127.0.0.1, 2014-05-27 16:14:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.185681
127.0.0.1, 2014-05-27 16:14:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.121566
127.0.0.1, 2014-05-27 16:14:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2014-05-27 16:15:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037680
127.0.0.1, 2014-05-27 16:15:57, POST, /admin/default/edit/kurssihallinta/models/db.py, HTTP/1.1, 200, 0.037120
127.0.0.1, 2014-05-27 16:16:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000359
127.0.0.1, 2014-05-27 16:16:06, GET, /admin/default/design/kurssihallinta, HTTP/1.1, 200, 0.106870
127.0.0.1, 2014-05-27 16:16:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2014-05-27 16:16:09, GET, /kurssihallinta/default/index, HTTP/1.1, 200, 0.298315
127.0.0.1, 2014-05-27 16:16:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000769
127.0.0.1, 2014-05-27 16:18:57, GET, /kurssihallinta/default/opettaja_kaikki_kurssit, HTTP/1.1, 200, 0.068700
127.0.0.1, 2014-05-27 16:18:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001568
127.0.0.1, 2014-05-27 16:19:00, GET, /admin/default/design/kurssihallinta, HTTP/1.1, 200, 0.113620
127.0.0.1, 2014-05-27 16:19:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2014-05-27 16:27:37, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.112524
127.0.0.1, 2014-05-27 16:27:42, GET, /kurssihallinta/appadmin/select/db, HTTP/1.1, 200, 0.141798
127.0.0.1, 2014-05-27 16:27:46, GET, /kurssihallinta/appadmin/insert/db/kurssityo, HTTP/1.1, 200, 0.530656
127.0.0.1, 2014-05-27 16:28:20, POST, /kurssihallinta/appadmin/insert/db/kurssityo, HTTP/1.1, 200, 0.660300
127.0.0.1, 2014-05-27 16:28:26, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.474811
127.0.0.1, 2014-05-27 16:28:29, GET, /kurssihallinta/appadmin/insert/db/kurssi, HTTP/1.1, 200, 0.450662
127.0.0.1, 2014-05-27 16:28:34, POST, /kurssihallinta/appadmin/insert/db/kurssi, HTTP/1.1, 200, 0.746810
127.0.0.1, 2014-05-27 16:28:37, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.556202
127.0.0.1, 2014-05-27 16:28:39, GET, /kurssihallinta/appadmin/select/db, HTTP/1.1, 200, 0.475619
127.0.0.1, 2014-05-27 16:28:42, GET, /kurssihallinta/appadmin/insert/db/kurssityo, HTTP/1.1, 200, 0.497907
127.0.0.1, 2014-05-27 16:29:02, POST, /kurssihallinta/appadmin/insert/db/kurssityo, HTTP/1.1, 200, 0.361226
127.0.0.1, 2014-05-27 16:29:05, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.114363
